Format Version,1.1,Take Name,Take 2016-04-07 08.32.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.32.07.811 PM,Total Frames,2981,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10002,Marker_10002,Marker_10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
370,3.083333,-2.093849,1.411623,2.801486,,,
371,3.091667,-2.093819,1.411508,2.801509,,,
372,3.100000,-2.093815,1.411580,2.801588,,,
373,3.108333,-2.093810,1.411607,2.801607,,,
374,3.116667,-2.093852,1.411732,2.801582,,,
375,3.125000,-2.093860,1.411678,2.801456,,,
376,3.133333,-2.093784,1.411637,2.801586,,,
377,3.141667,-2.093828,1.411631,2.801522,,,
378,3.150000,-2.093757,1.411505,2.801482,,,
379,3.158333,-2.093840,1.411618,2.801535,,,
380,3.166667,-2.093828,1.411600,2.801506,,,
381,3.175000,-2.093856,1.411584,2.801507,,,
382,3.183333,-2.093812,1.411628,2.801525,,,
383,3.191667,-2.093817,1.411582,2.801542,,,
384,3.200000,-2.093666,1.411532,2.801566,,,
385,3.208333,-2.093796,1.411553,2.801574,,,
386,3.216667,-2.093720,1.411564,2.801591,,,
387,3.225000,-2.093750,1.411541,2.801549,,,
388,3.233333,-2.093846,1.411634,2.801471,,,
389,3.241667,-2.093776,1.411521,2.801538,,,
390,3.250000,-2.093814,1.411577,2.801553,,,
391,3.258333,-2.093762,1.411608,2.801615,,,
392,3.266667,-2.093800,1.411565,2.801563,,,
393,3.275000,-2.093776,1.411593,2.801573,,,
394,3.283333,-2.093754,1.411561,2.801499,,,
395,3.291667,-2.093775,1.411639,2.801520,,,
396,3.300000,-2.093788,1.411573,2.801600,,,
397,3.308333,-2.093751,1.411518,2.801584,,,
398,3.316667,-2.093770,1.411511,2.801525,,,
399,3.325000,-2.093745,1.411546,2.801644,,,
400,3.333333,-2.093797,1.411531,2.801528,,,
401,3.341667,-2.093867,1.411560,2.801549,,,
402,3.350000,-2.093865,1.411663,2.801494,,,
403,3.358333,-2.093831,1.411587,2.801551,,,
404,3.366667,-2.093787,1.411580,2.801620,,,
405,3.375000,-2.093791,1.411545,2.801583,,,
406,3.383333,-2.093757,1.411596,2.801624,,,
407,3.391667,-2.093700,1.411624,2.801643,,,
408,3.400000,-2.093752,1.411654,2.801650,,,
409,3.408333,-2.093812,1.411629,2.801624,,,
410,3.416667,-2.093781,1.411569,2.801557,,,
411,3.425000,-2.093711,1.411481,2.801612,,,
412,3.433333,-2.093773,1.411559,2.801528,,,
413,3.441667,-2.093744,1.411492,2.801634,,,
414,3.450000,-2.093742,1.411580,2.801486,,,
415,3.458333,-2.093827,1.411572,2.801528,,,
416,3.466667,-2.093748,1.411503,2.801596,,,
417,3.475000,-2.093802,1.411600,2.801605,,,
418,3.483333,-2.093785,1.411611,2.801546,,,
419,3.491667,-2.093786,1.411489,2.801555,,,
420,3.500000,-2.093741,1.411604,2.801541,,,
421,3.508333,-2.093765,1.411601,2.801507,,,
422,3.516667,-2.093736,1.411508,2.801612,,,
423,3.525000,-2.093791,1.411521,2.801536,,,
424,3.533333,-2.093758,1.411584,2.801591,,,
425,3.541667,-2.093774,1.411611,2.801570,,,
426,3.550000,-2.093719,1.411538,2.801662,,,
427,3.558333,-2.093767,1.411586,2.801582,,,
428,3.566667,-2.093753,1.411574,2.801584,,,
429,3.575000,-2.093678,1.411549,2.801614,,,
430,3.583333,-2.093734,1.411624,2.801540,,,
431,3.591667,-2.093729,1.411474,2.801554,,,
432,3.600000,-2.093721,1.411540,2.801505,,,
433,3.608333,-2.093773,1.411575,2.801619,,,
434,3.616667,-2.093808,1.411608,2.801541,,,
435,3.625000,-2.093760,1.411526,2.801588,,,
436,3.633333,-2.093772,1.411552,2.801576,,,
437,3.641667,-2.093847,1.411546,2.801453,,,
438,3.650000,-2.093824,1.411618,2.801591,,,
439,3.658333,-2.093786,1.411606,2.801549,,,
440,3.666667,-2.093870,1.411584,2.801531,,,
441,3.675000,-2.093838,1.411590,2.801550,,,
442,3.683333,-2.093780,1.411547,2.801614,,,
443,3.691667,-2.093786,1.411592,2.801589,,,
444,3.700000,-2.093766,1.411519,2.801519,,,
445,3.708333,-2.093789,1.411527,2.801583,,,
446,3.716667,-2.093770,1.411573,2.801629,,,
447,3.725000,-2.093791,1.411571,2.801549,,,
448,3.733333,-2.093751,1.411627,2.801625,,,
449,3.741667,-2.093740,1.411570,2.801622,,,
450,3.750000,-2.093785,1.411577,2.801514,,,
451,3.758333,-2.093799,1.411523,2.801576,,,
452,3.766667,-2.093786,1.411601,2.801538,,,
453,3.775000,-2.093832,1.411634,2.801530,,,
454,3.783333,-2.093739,1.411559,2.801653,,,
455,3.791667,-2.093782,1.411545,2.801660,,,
456,3.800000,-2.093797,1.411570,2.801622,,,
457,3.808333,-2.093714,1.411533,2.801575,,,
458,3.816667,-2.093807,1.411558,2.801549,,,
459,3.825000,-2.093840,1.411602,2.801557,,,
460,3.833333,-2.093788,1.411523,2.801624,,,
461,3.841667,-2.093799,1.411613,2.801577,,,
462,3.850000,-2.093797,1.411569,2.801563,,,
463,3.858333,-2.093798,1.411631,2.801589,,,
464,3.866667,-2.093848,1.411600,2.801497,,,
465,3.875000,-2.093836,1.411547,2.801621,,,
466,3.883333,-2.093840,1.411561,2.801522,,,
467,3.891667,-2.093702,1.411496,2.801553,,,
468,3.900000,-2.093689,1.411484,2.801589,,,
469,3.908333,-2.093752,1.411646,2.801562,,,
470,3.916667,-2.093740,1.411541,2.801604,,,
471,3.925000,-2.093747,1.411571,2.801593,,,
472,3.933333,-2.093748,1.411576,2.801548,,,
473,3.941667,-2.093797,1.411584,2.801523,,,
474,3.950000,-2.093765,1.411593,2.801549,,,
475,3.958333,-2.093771,1.411580,2.801520,,,
476,3.966667,-2.093794,1.411618,2.801575,,,
477,3.975000,-2.093802,1.411596,2.801508,,,
478,3.983333,-2.093807,1.411639,2.801555,,,
479,3.991667,-2.093732,1.411614,2.801544,,,
