Format Version,1.1,Take Name,Take 2016-04-06 08.06.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.06.07.168 PM,Total Frames,2810,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
431,3.591667,-3.410551,1.415378,3.989546
432,3.600000,-3.410552,1.415374,3.989466
433,3.608333,-3.410503,1.415394,3.989531
434,3.616667,-3.410469,1.415379,3.989483
435,3.625000,-3.410491,1.415322,3.989440
436,3.633333,-3.410504,1.415353,3.989491
437,3.641667,-3.410503,1.415319,3.989490
438,3.650000,-3.410599,1.415339,3.989450
439,3.658333,-3.410565,1.415319,3.989527
440,3.666667,-3.410551,1.415293,3.989448
441,3.675000,-3.410509,1.415334,3.989481
442,3.683333,-3.410460,1.415377,3.989492
443,3.691667,-3.410479,1.415475,3.989558
444,3.700000,-3.410414,1.415443,3.989532
445,3.708333,-3.410515,1.415457,3.989572
446,3.716667,-3.410534,1.415425,3.989521
447,3.725000,-3.410533,1.415399,3.989492
448,3.733333,-3.410493,1.415307,3.989450
449,3.741667,-3.410480,1.415408,3.989512
450,3.750000,-3.410516,1.415350,3.989508
451,3.758333,-3.410545,1.415270,3.989390
452,3.766667,-3.410545,1.415395,3.989531
453,3.775000,-3.410519,1.415379,3.989538
454,3.783333,-3.410511,1.415325,3.989437
455,3.791667,-3.410545,1.415379,3.989498
456,3.800000,-3.410470,1.415367,3.989548
457,3.808333,-3.410622,1.415373,3.989523
458,3.816667,-3.410607,1.415314,3.989538
459,3.825000,-3.410564,1.415334,3.989462
460,3.833333,-3.410501,1.415343,3.989460
461,3.841667,-3.410575,1.415347,3.989494
462,3.850000,-3.410560,1.415518,3.989581
463,3.858333,-3.410544,1.415426,3.989538
464,3.866667,-3.410588,1.415345,3.989484
465,3.875000,-3.410522,1.415316,3.989455
466,3.883333,-3.410490,1.415431,3.989512
467,3.891667,-3.410507,1.415249,3.989444
468,3.900000,-3.410633,1.415342,3.989513
469,3.908333,-3.410544,1.415328,3.989465
470,3.916667,-3.410543,1.415434,3.989543
471,3.925000,-3.410566,1.415460,3.989576
472,3.933333,-3.410598,1.415423,3.989556
473,3.941667,-3.410598,1.415203,3.989387
474,3.950000,-3.410553,1.415364,3.989489
475,3.958333,-3.410530,1.415347,3.989520
476,3.966667,-3.410556,1.415383,3.989481
477,3.975000,-3.410496,1.415394,3.989545
478,3.983333,-3.410585,1.415274,3.989442
479,3.991667,-3.410576,1.415229,3.989439
480,4.000000,-3.410479,1.415278,3.989439
481,4.008333,-3.410508,1.415322,3.989436
482,4.016667,-3.410522,1.415237,3.989412
483,4.025000,-3.410515,1.415374,3.989456
484,4.033333,-3.410573,1.415262,3.989459
485,4.041667,-3.410572,1.415315,3.989405
486,4.050000,-3.410541,1.415308,3.989446
487,4.058333,-3.410517,1.415292,3.989417
488,4.066667,-3.410545,1.415317,3.989435
489,4.075000,-3.410508,1.415240,3.989394
490,4.083333,-3.410532,1.415229,3.989377
491,4.091667,-3.410524,1.415261,3.989423
492,4.100000,-3.410522,1.415244,3.989425
493,4.108333,-3.410460,1.415438,3.989526
494,4.116667,-3.410483,1.415303,3.989460
495,4.125000,-3.410521,1.415398,3.989494
496,4.133333,-3.410642,1.415215,3.989458
497,4.141667,-3.410589,1.415274,3.989450
498,4.150000,-3.410666,1.415297,3.989482
499,4.158333,-3.410715,1.415399,3.989569
500,4.166667,-3.410620,1.415508,3.989658
501,4.175000,-3.410675,1.415323,3.989470
502,4.183333,-3.410621,1.415179,3.989393
503,4.191667,-3.410664,1.415356,3.989505
504,4.200000,-3.410571,1.415325,3.989490
505,4.208333,-3.410605,1.415325,3.989518
506,4.216667,-3.410480,1.415336,3.989495
507,4.225000,-3.410685,1.415225,3.989446
508,4.233333,-3.410638,1.415209,3.989404
509,4.241667,-3.410523,1.415296,3.989458
510,4.250000,-3.410621,1.415339,3.989489
511,4.258333,-3.410619,1.415380,3.989515
512,4.266667,-3.410612,1.415320,3.989441
513,4.275000,-3.410574,1.415348,3.989538
514,4.283333,-3.410598,1.415328,3.989489
515,4.291667,-3.410664,1.415382,3.989516
516,4.300000,-3.410573,1.415513,3.989618
517,4.308333,-3.410542,1.415516,3.989605
518,4.316667,-3.410484,1.415586,3.989717
519,4.325000,-3.410566,1.415329,3.989496
520,4.333333,-3.410560,1.415335,3.989479
521,4.341667,-3.410589,1.415319,3.989534
522,4.350000,-3.410580,1.415358,3.989510
523,4.358333,-3.410685,1.415325,3.989528
524,4.366667,-3.410560,1.415381,3.989565
525,4.375000,-3.410644,1.415195,3.989411
526,4.383333,-3.410611,1.415187,3.989421
527,4.391667,-3.410566,1.415376,3.989519
528,4.400000,-3.410576,1.415474,3.989566
529,4.408333,-3.410612,1.415307,3.989475
530,4.416667,-3.410654,1.415344,3.989534
531,4.425000,-3.410577,1.415345,3.989434
532,4.433333,-3.410587,1.415334,3.989494
533,4.441667,-3.410551,1.415288,3.989440
534,4.450000,-3.410537,1.415290,3.989470
535,4.458333,-3.410587,1.415374,3.989531
536,4.466667,-3.410500,1.415339,3.989423
537,4.475000,-3.410532,1.415464,3.989554
538,4.483333,-3.410547,1.415465,3.989555
539,4.491667,-3.410543,1.415285,3.989476
540,4.500000,-3.410462,1.415389,3.989507
541,4.508333,-3.410505,1.415364,3.989499
542,4.516667,-3.410531,1.415279,3.989452
543,4.525000,-3.410560,1.415288,3.989428
544,4.533333,-3.410537,1.415335,3.989452
545,4.541667,-3.410604,1.415382,3.989514
546,4.550000,-3.410630,1.415334,3.989473
547,4.558333,-3.410650,1.415313,3.989500
