Format Version,1.1,Take Name,Take 2016-04-06 08.07.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.11.120 PM,Total Frames,3226,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302,Marker_10310,Marker_10310,Marker_10310
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E35702846","8392B20CF49E35702846","8392B20CF49E35702846"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
399,3.325000,-2.943243,1.423079,0.307953,,,
400,3.333333,-2.943255,1.423109,0.307935,,,
401,3.341667,-2.943291,1.423159,0.307968,,,
402,3.350000,-2.943215,1.423079,0.307962,,,
403,3.358333,-2.943239,1.423072,0.307949,,,
404,3.366667,-2.943264,1.423097,0.307990,,,
405,3.375000,-2.943243,1.423146,0.307963,,,
406,3.383333,-2.943244,1.423135,0.307995,,,
407,3.391667,-2.943212,1.423159,0.307997,,,
408,3.400000,-2.943230,1.423133,0.308025,,,
409,3.408333,-2.943273,1.423133,0.308004,,,
410,3.416667,-2.943220,1.423179,0.308002,,,
411,3.425000,-2.943221,1.423087,0.307940,,,
412,3.433333,-2.943272,1.423139,0.307974,,,
413,3.441667,-2.943214,1.423072,0.307916,,,
414,3.450000,-2.943295,1.423108,0.307939,,,
415,3.458333,-2.943219,1.423137,0.307985,,,
416,3.466667,-2.943183,1.423126,0.308006,,,
417,3.475000,-2.943247,1.423198,0.307955,,,
418,3.483333,-2.943205,1.423143,0.307988,,,
419,3.491667,-2.943238,1.423167,0.307990,,,
420,3.500000,-2.943250,1.423184,0.307965,,,
421,3.508333,-2.943249,1.423155,0.307969,,,
422,3.516667,-2.943264,1.423121,0.307977,,,
423,3.525000,-2.943227,1.423103,0.307956,,,
424,3.533333,-2.943216,1.423146,0.307955,,,
425,3.541667,-2.943237,1.423098,0.308022,,,
426,3.550000,-2.943254,1.423132,0.307928,,,
427,3.558333,-2.943255,1.423128,0.307900,,,
428,3.566667,-2.943298,1.423157,0.307916,,,
429,3.575000,-2.943230,1.423078,0.307976,,,
430,3.583333,-2.943256,1.423110,0.307901,,,
431,3.591667,-2.943298,1.423188,0.307965,,,
432,3.600000,-2.943265,1.423173,0.307997,,,
433,3.608333,-2.943278,1.423175,0.307976,,,
434,3.616667,-2.943239,1.423141,0.307992,,,
435,3.625000,-2.943308,1.423212,0.307976,,,
436,3.633333,-2.943312,1.423187,0.307909,,,
437,3.641667,-2.943267,1.423136,0.307922,,,
438,3.650000,-2.943264,1.423123,0.307963,,,
439,3.658333,-2.943278,1.423173,0.308018,,,
440,3.666667,-2.943226,1.423144,0.307947,,,
441,3.675000,-2.943262,1.423104,0.307933,,,
442,3.683333,-2.943320,1.423173,0.307991,,,
443,3.691667,-2.943292,1.423075,0.307961,,,
444,3.700000,-2.943296,1.423176,0.307944,,,
445,3.708333,-2.943251,1.423142,0.307967,,,
446,3.716667,-2.943280,1.423144,0.307928,,,
447,3.725000,-2.943288,1.423194,0.307973,,,
448,3.733333,-2.943276,1.423181,0.307917,,,
449,3.741667,-2.943316,1.423181,0.307956,,,
450,3.750000,-2.943244,1.423124,0.308010,,,
451,3.758333,-2.943283,1.423103,0.307991,,,
452,3.766667,-2.943313,1.423151,0.307971,,,
453,3.775000,-2.943271,1.423150,0.307977,,,
454,3.783333,-2.943262,1.423145,0.308015,,,
455,3.791667,-2.943203,1.423067,0.307979,,,
456,3.800000,-2.943264,1.423145,0.307920,,,
457,3.808333,-2.943223,1.423081,0.307953,,,
458,3.816667,-2.943296,1.423068,0.307958,,,
459,3.825000,-2.943263,1.423132,0.307949,,,
460,3.833333,-2.943240,1.423115,0.307969,,,
461,3.841667,-2.943308,1.423135,0.308003,,,
462,3.850000,-2.943307,1.423153,0.307936,,,
463,3.858333,-2.943322,1.423099,0.307942,,,
464,3.866667,-2.943297,1.423144,0.307906,,,
465,3.875000,-2.943269,1.423170,0.307955,,,
466,3.883333,-2.943222,1.423100,0.307969,,,
467,3.891667,-2.943226,1.423145,0.308018,,,
468,3.900000,-2.943242,1.423086,0.307964,,,
469,3.908333,-2.943300,1.423098,0.307969,,,
470,3.916667,-2.943282,1.423119,0.307943,,,
471,3.925000,-2.943255,1.423069,0.307969,,,
472,3.933333,-2.943275,1.423103,0.307889,,,
473,3.941667,-2.943337,1.423159,0.307950,,,
474,3.950000,-2.943293,1.423135,0.307911,,,
475,3.958333,-2.943332,1.423168,0.307934,,,
476,3.966667,-2.943251,1.423164,0.307977,,,
477,3.975000,-2.943262,1.423072,0.307949,,,
478,3.983333,-2.943249,1.423081,0.307971,,,
479,3.991667,-2.943247,1.423122,0.307935,,,
