Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
248,2.066667,-3.598437,1.945210,-3.676276,,,,,,
249,2.075000,-3.598408,1.945058,-3.676491,,,,,,
250,2.083333,-3.598343,1.945220,-3.676467,,,,,,
251,2.091667,-3.598373,1.945169,-3.676464,,,,,,
252,2.100000,-3.598345,1.945083,-3.676678,,,,,,
253,2.108333,-3.598383,1.945217,-3.676600,,,,,,
254,2.116667,-3.598235,1.945229,-3.676661,,,,,,
255,2.125000,-3.598187,1.945149,-3.676857,,,,,,
256,2.133333,-3.598044,1.945153,-3.676972,,,,,,
257,2.141667,-3.602436,1.945841,-3.681082,,,,,,
258,2.150000,-3.602092,1.945559,-3.681149,,,,,,
259,2.158333,,,,,,,,,
260,2.166667,,,,,,,,,
261,2.175000,,,,,,,,,
262,2.183333,,,,,,,,,
263,2.191667,-3.594189,1.940070,-3.683121,,,,,,
264,2.200000,-3.593893,1.940031,-3.683143,,,,,,
265,2.208333,-3.593836,1.940064,-3.683136,,,,,,
266,2.216667,-3.593398,1.939940,-3.683290,,,,,,
267,2.225000,-3.593225,1.940029,-3.683261,,,,,,
268,2.233333,-3.593160,1.940077,-3.683201,,,,,,
269,2.241667,-3.592829,1.939875,-3.683275,,,,,,
270,2.250000,-3.592815,1.940017,-3.683241,,,,,,
271,2.258333,-3.594895,1.944799,-3.677271,,,,,,
272,2.266667,-3.594569,1.944823,-3.677323,,,,,,
273,2.275000,-3.594347,1.944837,-3.677411,,,,,,
274,2.283333,-3.594115,1.944947,-3.677306,,,,,,
275,2.291667,-3.593903,1.944760,-3.677529,,,,,,
276,2.300000,-3.593833,1.944877,-3.677561,,,,,,
277,2.308333,-3.593559,1.944856,-3.677699,,,,,,
278,2.316667,-3.593245,1.944924,-3.677745,,,,,,
279,2.325000,-3.593137,1.944841,-3.677892,,,,,,
280,2.333333,-3.592950,1.944910,-3.677895,,,,,,
281,2.341667,-3.592923,1.944935,-3.678116,,,,,,
282,2.350000,-3.592785,1.945064,-3.678245,,,,,,
283,2.358333,-3.592650,1.945008,-3.678288,,,,,,
284,2.366667,-3.592478,1.945108,-3.678431,,,,,,
285,2.375000,-3.592313,1.944999,-3.678669,,,,,,
286,2.383333,-3.591923,1.945087,-3.678624,,,,,,
287,2.391667,-3.591985,1.945193,-3.678841,,,,,,
288,2.400000,-3.591703,1.944972,-3.679077,,,,,,
