Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
251,2.091667,-2.310334,1.423894,1.461388,,,,,,,,,,,,,,,
252,2.100000,-2.310242,1.423801,1.461408,,,,,,,,,,,,,,,
253,2.108333,-2.310378,1.423752,1.461311,,,,,,,,,,,,,,,
254,2.116667,-2.310324,1.423785,1.461325,,,,,,,,,,,,,,,
255,2.125000,-2.310277,1.423757,1.461422,,,,,,,,,,,,,,,
256,2.133333,-2.310289,1.423806,1.461308,,,,,,,,,,,,,,,
257,2.141667,-2.310269,1.423797,1.461403,,,,,,,,,,,,,,,
258,2.150000,-2.310218,1.423805,1.461388,,,,,,,,,,,,,,,
259,2.158333,-2.310214,1.423808,1.461379,,,,,,,,,,,,,,,
260,2.166667,-2.310288,1.423804,1.461301,,,,,,,,,,,,,,,
261,2.175000,-2.310292,1.423781,1.461250,,,,,,,,,,,,,,,
262,2.183333,-2.310297,1.423754,1.461354,,,,,,,,,,,,,,,
263,2.191667,-2.310277,1.423787,1.461344,,,,,,,,,,,,,,,
264,2.200000,-2.310304,1.423757,1.461275,,,,,,,,,,,,,,,
265,2.208333,-2.310298,1.423802,1.461375,,,,,,,,,,,,,,,
266,2.216667,-2.310266,1.423761,1.461363,,,,,,,,,,,,,,,
267,2.225000,-2.310291,1.423784,1.461362,,,,,,,,,,,,,,,
268,2.233333,-2.310347,1.423780,1.461331,,,,,,,,,,,,,,,
269,2.241667,-2.310374,1.423705,1.461324,,,,,,,,,,,,,,,
270,2.250000,-2.310349,1.423730,1.461359,,,,,,,,,,,,,,,
271,2.258333,-2.310367,1.423791,1.461321,,,,,,,,,,,,,,,
272,2.266667,-2.310283,1.423748,1.461335,,,,,,,,,,,,,,,
273,2.275000,-2.310330,1.423838,1.461275,,,,,,,,,,,,,,,
274,2.283333,-2.310332,1.423828,1.461226,,,,,,,,,,,,,,,
